CWE,CVE,Gemini,Mistral
CWE-89,CVE-2021-36625,3,3
CWE-22,CVE-2023-50264,3,3
CWE-787,CVE-2023-38671,3,3
CWE-79,CVE-2023-3086,3,3
CWE-79,CVE-2023-3086,3,3
CWE-862,CVE-2022-30594,3,3
CWE-918,CVE-2023-47121,3,3
CWE-77,CVE-2023-25805,3,3
CWE-306,CVE-2023-4815,3,3
CWE-502,CVE-2023-49297,3,3
CWE-78,CVE-2019-13574,3,3
CWE-416,CVE-2023-0266,3,3
CWE-352,CVE-2023-5902,3,3
CWE-119,CVE-2023-3036,3,3
CWE-798,CVE-2023-5318,3,3
CWE-190,CVE-2022-39842,3,3
CWE-434,CVE-2023-3692,3,3
CWE-287,CVE-2019-12395,3,3
CWE-125,CVE-2022-47520,3,3
CWE-20,CVE-2022-29206,3,3
CWE-476,CVE-2019-12818,3,3
