id,date,title,classification,handling,pubdate,publisher,original_sentence,is_redacted,redacted_sentence,base_text
2010090102536,1943-12-18,Data on the residents living on the Italian island of Gorgona. Also included is a list of equipment taken over on that island by American personnel. The Office of Strategic Services (OSS) Operational Group (OG) maintains outposts on Gorgona to: observe enemy coastal shipping; furnish weather reports; administer the prison and civilian population on that island; provide early warning for U.S. Air Force units stationed on the island of Corsica.,,,2008-07-01,DEPARTMENT OF DEFENSE,Oorgoha Island  18 December 1943  Population Civilians  96 Guards  23 Carabinieri Sailors Soldiers  3 Prisoners Total  180 Poplation Breakdow Men  106 Women  33 Children Total  180 Above figures do not include American military personnel.,True,[LOCATION]  [DATE]  Population Civilians  96 Guards  23 Carabinieri Sailors Soldiers  3 Prisoners Total  180 Poplation Breakdow Men  106 Women  33 Children Total  180 Above figures do not include [MILITARY ORGANISATION].,<s>[INSTRUCTION] Please assist in identifying sensitive text that requires redaction in the document titled Data on the residents living on the Italian island of Gorgona. Also included is a list of equipment taken over on that island by American personnel. The Office of Strategic Services (OSS) Operational Group (OG) maintains outposts on Gorgona to: observe enemy coastal shipping; furnish weather reports; administer the prison and civilian population on that island; provide early warning for U.S. Air Force units stationed on the island of Corsica.. The specific sentence under consideration is ```Oorgoha Island  18 December 1943  Population Civilians  96 Guards  23 Carabinieri Sailors Soldiers  3 Prisoners Total  180 Poplation Breakdow Men  106 Women  33 Children Total  180 Above figures do not include American military personnel.```. [/INSTRUCTION]. [LOCATION]  [DATE]  Population Civilians  96 Guards  23 Carabinieri Sailors Soldiers  3 Prisoners Total  180 Poplation Breakdow Men  106 Women  33 Children Total  180 Above figures do not include [MILITARY ORGANISATION].####. </s>
2010090102536,1943-12-18,Data on the residents living on the Italian island of Gorgona. Also included is a list of equipment taken over on that island by American personnel. The Office of Strategic Services (OSS) Operational Group (OG) maintains outposts on Gorgona to: observe enemy coastal shipping; furnish weather reports; administer the prison and civilian population on that island; provide early warning for U.S. Air Force units stationed on the island of Corsica.,,,2008-07-01,DEPARTMENT OF DEFENSE,"Equipment taken over by American personnel: Military: 7 Light machine guns: 2 Breda- 5 Fiat; both types cal. .8 9 Rifles, cal 7.35 61 Rifles, cal. 6.5 5 Pistols, cal. .95 Hand Grenadesv 72 model 40 62 model 35 Amunition: Caliber .8 M.G. rounds in Cases 15000 38 boxes M.G. rounds for Breda I.G. -11$400 5 boxes M.G. rounds for Fiat LM. 1500 Total 27i900 Ammunition: Caliber 6.5 Rifle rounds 13,950 Miscellaneous: 37 bayonets 7 daggers 1 tool chest 2 Spare parts kits 1 Belt loading machine (Breda) 11 Helmets 79 rounds caliber 9,5 (for pistol) 24 ammunition belts 22 shoulder belts 9 Fiat L.M.G. barrels 5 Breda L.,1.G. baxrid 3 AA mounts for L.M.G.",True,"Equipment taken over by [MILITARY ORGANISATION]: Military: [WEAPONS SYSTEMS]: 2 Breda- 5 Fiat; both types cal. .8 [WEAPONS SYSTEMS] [WEAPONS SYSTEMS] [WEAPONS SYSTEMS] [WEAPONS SYSTEMS] Amunition: Caliber .8 M.G. rounds in Cases 15000 38 boxes M.G. rounds for Breda I.G. -11$400 5 boxes M.G. rounds for Fiat LM. 1500 Total 27i900 [WEAPONS SYSTEMS] Rifle rounds 13,950 Miscellaneous: 37 bayonets 7 daggers 1 tool chest 2 Spare parts kits 1 Belt loading machine (Breda) 11 Helmets 79 rounds caliber 9,5 (for pistol) 24 ammunition belts 22 shoulder belts 9 Fiat L.M.G. barrels 5 Breda L.,1.G. baxrid 3 AA mounts for L.M.G.","<s>[INSTRUCTION] Please assist in identifying sensitive text that requires redaction in the document titled Data on the residents living on the Italian island of Gorgona. Also included is a list of equipment taken over on that island by American personnel. The Office of Strategic Services (OSS) Operational Group (OG) maintains outposts on Gorgona to: observe enemy coastal shipping; furnish weather reports; administer the prison and civilian population on that island; provide early warning for U.S. Air Force units stationed on the island of Corsica.. The specific sentence under consideration is ```Equipment taken over by American personnel: Military: 7 Light machine guns: 2 Breda- 5 Fiat; both types cal. .8 9 Rifles, cal 7.35 61 Rifles, cal. 6.5 5 Pistols, cal. .95 Hand Grenadesv 72 model 40 62 model 35 Amunition: Caliber .8 M.G. rounds in Cases 15000 38 boxes M.G. rounds for Breda I.G. -11$400 5 boxes M.G. rounds for Fiat LM. 1500 Total 27i900 Ammunition: Caliber 6.5 Rifle rounds 13,950 Miscellaneous: 37 bayonets 7 daggers 1 tool chest 2 Spare parts kits 1 Belt loading machine (Breda) 11 Helmets 79 rounds caliber 9,5 (for pistol) 24 ammunition belts 22 shoulder belts 9 Fiat L.M.G. barrels 5 Breda L.,1.G. baxrid 3 AA mounts for L.M.G.```. [/INSTRUCTION]. Equipment taken over by [MILITARY ORGANISATION]: Military: [WEAPONS SYSTEMS]: 2 Breda- 5 Fiat; both types cal. .8 [WEAPONS SYSTEMS] [WEAPONS SYSTEMS] [WEAPONS SYSTEMS] [WEAPONS SYSTEMS] Amunition: Caliber .8 M.G. rounds in Cases 15000 38 boxes M.G. rounds for Breda I.G. -11$400 5 boxes M.G. rounds for Fiat LM. 1500 Total 27i900 [WEAPONS SYSTEMS] Rifle rounds 13,950 Miscellaneous: 37 bayonets 7 daggers 1 tool chest 2 Spare parts kits 1 Belt loading machine (Breda) 11 Helmets 79 rounds caliber 9,5 (for pistol) 24 ammunition belts 22 shoulder belts 9 Fiat L.M.G. barrels 5 Breda L.,1.G. baxrid 3 AA mounts for L.M.G.####. </s>"
2010090102536,1943-12-18,Data on the residents living on the Italian island of Gorgona. Also included is a list of equipment taken over on that island by American personnel. The Office of Strategic Services (OSS) Operational Group (OG) maintains outposts on Gorgona to: observe enemy coastal shipping; furnish weather reports; administer the prison and civilian population on that island; provide early warning for U.S. Air Force units stationed on the island of Corsica.,,,2008-07-01,DEPARTMENT OF DEFENSE,REPRCSUCED AT THE NATIONAL ARCHIVES,True,REPRCSUCED AT THE [SECURITY INFRASTRUCTURE VULNERABILITIES],<s>[INSTRUCTION] Please assist in identifying sensitive text that requires redaction in the document titled Data on the residents living on the Italian island of Gorgona. Also included is a list of equipment taken over on that island by American personnel. The Office of Strategic Services (OSS) Operational Group (OG) maintains outposts on Gorgona to: observe enemy coastal shipping; furnish weather reports; administer the prison and civilian population on that island; provide early warning for U.S. Air Force units stationed on the island of Corsica.. The specific sentence under consideration is ```REPRCSUCED AT THE NATIONAL ARCHIVES```. [/INSTRUCTION]. REPRCSUCED AT THE [SECURITY INFRASTRUCTURE VULNERABILITIES]####. </s>
2010090102536,1943-12-18,Data on the residents living on the Italian island of Gorgona. Also included is a list of equipment taken over on that island by American personnel. The Office of Strategic Services (OSS) Operational Group (OG) maintains outposts on Gorgona to: observe enemy coastal shipping; furnish weather reports; administer the prison and civilian population on that island; provide early warning for U.S. Air Force units stationed on the island of Corsica.,,,2008-07-01,DEPARTMENT OF DEFENSE,"Bquipment taken over by American personnel: Radio: Four (4) twelve (12) volt batteries One (1) volt Meter One (1) tool kA: b e c e srttie d On o e3e&"" screw driver, and-mih6or One (1) gaoih peae a gneao REPROUCED AT HE NATIONAL ARCHIVES",True,"Bquipment taken over by [MILITARY ORGANISATION]: [MILITARY COMMUNICATIONS]: Four (4) twelve (12) volt batteries One (1) volt Meter One (1) tool kA: b e c e srttie d On o e3e&"" screw driver, and-mih6or One (1) gaoih peae a gneao REPROUCED AT HE NATIONAL ARCHIVES","<s>[INSTRUCTION] Please assist in identifying sensitive text that requires redaction in the document titled Data on the residents living on the Italian island of Gorgona. Also included is a list of equipment taken over on that island by American personnel. The Office of Strategic Services (OSS) Operational Group (OG) maintains outposts on Gorgona to: observe enemy coastal shipping; furnish weather reports; administer the prison and civilian population on that island; provide early warning for U.S. Air Force units stationed on the island of Corsica.. The specific sentence under consideration is ```Bquipment taken over by American personnel: Radio: Four (4) twelve (12) volt batteries One (1) volt Meter One (1) tool kA: b e c e srttie d On o e3e&"" screw driver, and-mih6or One (1) gaoih peae a gneao REPROUCED AT HE NATIONAL ARCHIVES```. [/INSTRUCTION]. Bquipment taken over by [MILITARY ORGANISATION]: [MILITARY COMMUNICATIONS]: Four (4) twelve (12) volt batteries One (1) volt Meter One (1) tool kA: b e c e srttie d On o e3e&"" screw driver, and-mih6or One (1) gaoih peae a gneao REPROUCED AT HE NATIONAL ARCHIVES####. </s>"
2010010100055,1944-03-22,"First Lieutenant Albert Materazzi, operations officer at the Office of Strategic Services (OSS) 2677th Headquarters Company, provides details of a 3/21/1944 mission to the Italian island of Gorgona (code name OP-1) to re-supply the Operational Group (OG) garrison and civilians on the island and to replace military personnel. The OSS OG maintains outposts on Gorgona to: observe enemy coastal shipping; furnish weather reports; administer to the prison and civilian population on that island; provide early warning for U.S. Air Force units stationed on the island of Corsica.",SECRET,,2008-07-01,DEPARTMENT OF DEFENSE,2677TB HADQETERS 00  XP (PROV),True,[MILITARY ORGANISATION] HADQETERS 00  XP (PROV),"<s>[INSTRUCTION] Please assist in identifying sensitive text that requires redaction in the document titled First Lieutenant Albert Materazzi, operations officer at the Office of Strategic Services (OSS) 2677th Headquarters Company, provides details of a 3/21/1944 mission to the Italian island of Gorgona (code name OP-1) to re-supply the Operational Group (OG) garrison and civilians on the island and to replace military personnel. The OSS OG maintains outposts on Gorgona to: observe enemy coastal shipping; furnish weather reports; administer to the prison and civilian population on that island; provide early warning for U.S. Air Force units stationed on the island of Corsica.. The specific sentence under consideration is ```2677TB HADQETERS 00  XP (PROV)```. [/INSTRUCTION]. [MILITARY ORGANISATION] HADQETERS 00  XP (PROV)####. </s>"
2010010100055,1944-03-22,"First Lieutenant Albert Materazzi, operations officer at the Office of Strategic Services (OSS) 2677th Headquarters Company, provides details of a 3/21/1944 mission to the Italian island of Gorgona (code name OP-1) to re-supply the Operational Group (OG) garrison and civilians on the island and to replace military personnel. The OSS OG maintains outposts on Gorgona to: observe enemy coastal shipping; furnish weather reports; administer to the prison and civilian population on that island; provide early warning for U.S. Air Force units stationed on the island of Corsica.",SECRET,,2008-07-01,DEPARTMENT OF DEFENSE,22 March 1944.,True,[DATE].,"<s>[INSTRUCTION] Please assist in identifying sensitive text that requires redaction in the document titled First Lieutenant Albert Materazzi, operations officer at the Office of Strategic Services (OSS) 2677th Headquarters Company, provides details of a 3/21/1944 mission to the Italian island of Gorgona (code name OP-1) to re-supply the Operational Group (OG) garrison and civilians on the island and to replace military personnel. The OSS OG maintains outposts on Gorgona to: observe enemy coastal shipping; furnish weather reports; administer to the prison and civilian population on that island; provide early warning for U.S. Air Force units stationed on the island of Corsica.. The specific sentence under consideration is ```22 March 1944.```. [/INSTRUCTION]. [DATE].####. </s>"
2010010100055,1944-03-22,"First Lieutenant Albert Materazzi, operations officer at the Office of Strategic Services (OSS) 2677th Headquarters Company, provides details of a 3/21/1944 mission to the Italian island of Gorgona (code name OP-1) to re-supply the Operational Group (OG) garrison and civilians on the island and to replace military personnel. The OSS OG maintains outposts on Gorgona to: observe enemy coastal shipping; furnish weather reports; administer to the prison and civilian population on that island; provide early warning for U.S. Air Force units stationed on the island of Corsica.",SECRET,,2008-07-01,DEPARTMENT OF DEFENSE,MISSION: a. To transport to OP-1 begin ai S.l personal -necessary. in conjunction with the forthoal ecat* epraton b. To supply and relieve the Military garrison on OP-1. c. To bring supplies to the civilians of the Island..,True,MISSION: a. To transport to [MILITARY OPERATIONS] begin ai S.l personal -necessary. in conjunction with the forthoal ecat* epraton b. To supply and relieve the [MILITARY ORGANISATION] on [MILITARY OPERATIONS]. c. To bring supplies to the [LOCATION]..,"<s>[INSTRUCTION] Please assist in identifying sensitive text that requires redaction in the document titled First Lieutenant Albert Materazzi, operations officer at the Office of Strategic Services (OSS) 2677th Headquarters Company, provides details of a 3/21/1944 mission to the Italian island of Gorgona (code name OP-1) to re-supply the Operational Group (OG) garrison and civilians on the island and to replace military personnel. The OSS OG maintains outposts on Gorgona to: observe enemy coastal shipping; furnish weather reports; administer to the prison and civilian population on that island; provide early warning for U.S. Air Force units stationed on the island of Corsica.. The specific sentence under consideration is ```MISSION: a. To transport to OP-1 begin ai S.l personal -necessary. in conjunction with the forthoal ecat* epraton b. To supply and relieve the Military garrison on OP-1. c. To bring supplies to the civilians of the Island..```. [/INSTRUCTION]. MISSION: a. To transport to [MILITARY OPERATIONS] begin ai S.l personal -necessary. in conjunction with the forthoal ecat* epraton b. To supply and relieve the [MILITARY ORGANISATION] on [MILITARY OPERATIONS]. c. To bring supplies to the [LOCATION]..####. </s>"
2010010100055,1944-03-22,"First Lieutenant Albert Materazzi, operations officer at the Office of Strategic Services (OSS) 2677th Headquarters Company, provides details of a 3/21/1944 mission to the Italian island of Gorgona (code name OP-1) to re-supply the Operational Group (OG) garrison and civilians on the island and to replace military personnel. The OSS OG maintains outposts on Gorgona to: observe enemy coastal shipping; furnish weather reports; administer to the prison and civilian population on that island; provide early warning for U.S. Air Force units stationed on the island of Corsica.",SECRET,,2008-07-01,DEPARTMENT OF DEFENSE,"1st Lt. William L. Sawyer, Sig C, (Communications Branch, 2677th Co Exp (Prov)) made preparations for radio and beam antenna installations to be made on OP-1 in conjunction with the forthcoming OLocust' operation",True,"[MILITARY PERSONNEL], [MILITARY ORGANISATION], (Communications Branch, 2677th Co Exp (Prov)) made preparations for radio and beam antenna installations to be made on [MILITARY OPERATIONS] in conjunction with the forthcoming [MILITARY PLANS]' operation","<s>[INSTRUCTION] Please assist in identifying sensitive text that requires redaction in the document titled First Lieutenant Albert Materazzi, operations officer at the Office of Strategic Services (OSS) 2677th Headquarters Company, provides details of a 3/21/1944 mission to the Italian island of Gorgona (code name OP-1) to re-supply the Operational Group (OG) garrison and civilians on the island and to replace military personnel. The OSS OG maintains outposts on Gorgona to: observe enemy coastal shipping; furnish weather reports; administer to the prison and civilian population on that island; provide early warning for U.S. Air Force units stationed on the island of Corsica.. The specific sentence under consideration is ```1st Lt. William L. Sawyer, Sig C, (Communications Branch, 2677th Co Exp (Prov)) made preparations for radio and beam antenna installations to be made on OP-1 in conjunction with the forthcoming OLocust' operation```. [/INSTRUCTION]. [MILITARY PERSONNEL], [MILITARY ORGANISATION], (Communications Branch, 2677th Co Exp (Prov)) made preparations for radio and beam antenna installations to be made on [MILITARY OPERATIONS] in conjunction with the forthcoming [MILITARY PLANS]' operation####. </s>"
2010010100055,1944-03-22,"First Lieutenant Albert Materazzi, operations officer at the Office of Strategic Services (OSS) 2677th Headquarters Company, provides details of a 3/21/1944 mission to the Italian island of Gorgona (code name OP-1) to re-supply the Operational Group (OG) garrison and civilians on the island and to replace military personnel. The OSS OG maintains outposts on Gorgona to: observe enemy coastal shipping; furnish weather reports; administer to the prison and civilian population on that island; provide early warning for U.S. Air Force units stationed on the island of Corsica.",SECRET,,2008-07-01,DEPARTMENT OF DEFENSE,Personnel and garrison supplies were assembled in Bastia.,True,[MILITARY ORGANISATION] were assembled in [LOCATION].,"<s>[INSTRUCTION] Please assist in identifying sensitive text that requires redaction in the document titled First Lieutenant Albert Materazzi, operations officer at the Office of Strategic Services (OSS) 2677th Headquarters Company, provides details of a 3/21/1944 mission to the Italian island of Gorgona (code name OP-1) to re-supply the Operational Group (OG) garrison and civilians on the island and to replace military personnel. The OSS OG maintains outposts on Gorgona to: observe enemy coastal shipping; furnish weather reports; administer to the prison and civilian population on that island; provide early warning for U.S. Air Force units stationed on the island of Corsica.. The specific sentence under consideration is ```Personnel and garrison supplies were assembled in Bastia.```. [/INSTRUCTION]. [MILITARY ORGANISATION] were assembled in [LOCATION].####. </s>"
2010010100055,1944-03-22,"First Lieutenant Albert Materazzi, operations officer at the Office of Strategic Services (OSS) 2677th Headquarters Company, provides details of a 3/21/1944 mission to the Italian island of Gorgona (code name OP-1) to re-supply the Operational Group (OG) garrison and civilians on the island and to replace military personnel. The OSS OG maintains outposts on Gorgona to: observe enemy coastal shipping; furnish weather reports; administer to the prison and civilian population on that island; provide early warning for U.S. Air Force units stationed on the island of Corsica.",SECRET,,2008-07-01,DEPARTMENT OF DEFENSE,All requests from OP-1 were filled.,True,All requests from [MILITARY OPERATIONS] were filled.,"<s>[INSTRUCTION] Please assist in identifying sensitive text that requires redaction in the document titled First Lieutenant Albert Materazzi, operations officer at the Office of Strategic Services (OSS) 2677th Headquarters Company, provides details of a 3/21/1944 mission to the Italian island of Gorgona (code name OP-1) to re-supply the Operational Group (OG) garrison and civilians on the island and to replace military personnel. The OSS OG maintains outposts on Gorgona to: observe enemy coastal shipping; furnish weather reports; administer to the prison and civilian population on that island; provide early warning for U.S. Air Force units stationed on the island of Corsica.. The specific sentence under consideration is ```All requests from OP-1 were filled.```. [/INSTRUCTION]. All requests from [MILITARY OPERATIONS] were filled.####. </s>"
